,Yield,Yield2,Error
667,78.88338291,86.35564453,7.472261623
668,47.53835036,47.10530943,0.433040928
669,67.06836673,57.60207417,9.466292553
670,14.31325301,0.22151869,14.09173432
671,11.25383937,2.063909472,9.189929898
672,79.67075888,77.54832281,2.122436076
673,21.51469291,0.145170339,21.36952257
674,91.03448276,82.26823797,8.766244788
675,74.9670101,77.28378018,2.31677008
676,60.68965517,32.27230882,28.41734635
677,44.57221081,71.26747145,26.69526063
678,74.34482759,84.68187085,10.33704327
679,78.8977266,77.60456677,1.293159827
680,9.635719894,1.321289426,8.314430468
681,1.238361446,60.90250572,59.66414427
682,82.32544066,85.60452683,3.279086164
683,46.75439248,48.60256784,1.848175364
684,30.61975904,0.941757034,29.678002
685,39.01686747,0.256084012,38.76078346
686,76.4179887,73.58579923,2.832189469
687,37.49012048,0.096040977,37.39407951
688,77.74992617,75.92931057,1.820615593
689,47.50561229,41.47090562,6.034706669
690,61.1954023,87.24331619,26.04791389
691,60.64701291,72.16986176,11.52284885
692,78.84570208,82.58067139,3.73496931
693,11.50673347,1.321289426,10.18544404
694,62.52421639,65.36481614,2.840599748
695,0,0,0
696,59.52222693,61.42131582,1.899088887
697,6.075180723,3.784244159,2.290936564
698,38.54893908,64.1056838,25.55674471
699,0,0,0
700,70.43755211,58.71454915,11.72300295
701,72.32183908,80.8621561,8.540317022
702,69.79310345,57.58019825,12.21290519
703,41.44010951,67.07532304,25.63521352
704,27.22518823,83.10488385,55.87969562
705,74.34482759,85.90956001,11.56473242
706,31.80287474,61.63196319,29.82908845
707,34.93497604,63.52840248,28.59342643
708,60.68965517,84.81686748,24.12721231
709,9.701204819,1.143790993,8.557413826
710,72.82758621,64.49587106,8.331715149
711,76.22365063,84.08224715,7.858596513
712,70.68757976,67.58374703,3.10383273
713,35.41683778,68.59606936,33.17923158
714,78.00578482,73.09852403,4.907260791
715,60.35598552,60.2599119,0.096073617
716,1.122047244,1.321289426,0.199242182
717,21.06232176,8.827303459,12.2350183
718,24.82464567,0.004214967,24.8204307
719,9.542169216,0.010110917,9.532058299
720,43.99261671,42.20246779,1.790148917
721,31.321013,79.97639472,48.65538172
722,40.95824778,73.54280452,32.58455675
723,80.14408227,84.18954117,4.045458907
724,79.29341311,86.28979412,6.996381009
725,78.30909866,87.08436222,8.775263551
726,68.27586207,89.46992414,21.19406207
727,1.819373494,0,1.819373494
728,13.97399042,83.60439219,69.63040177
729,61.22167875,55.02156114,6.200117606
730,68.69719553,55.89975299,12.79744254
731,58.0241758,47.15134196,10.87283384
732,1.017831325,47.73497169,46.71714037
733,82.94252874,79.94406767,2.998461068
734,0,0,0
735,24.32815276,0.010210926,24.31794183
736,53.19534922,46.13700566,7.05834356
737,35.65776865,71.2884477,35.63067905
738,70.8045977,58.75457461,12.0500231
739,76.15951625,80.50690899,4.34739274
740,33.7303217,56.62722361,22.89690191
741,75.81433509,82.5210324,6.706697313
742,58.66666667,22.82859056,35.83807611
743,79.41031271,76.48818097,2.92213174
744,61.02607889,78.20426405,17.17818516
745,35.17590691,66.02187617,30.84596926
746,76.80619566,84.89383799,8.087642331
747,74.42814602,67.38184329,7.046302732
748,80.80661449,78.34850857,2.458105919
749,80.37562958,85.54030865,5.164679068
750,65.24137931,87.61452655,22.37314724
751,61.1954023,80.93256656,19.73716426
752,78.27245078,86.48505257,8.212601789
753,69.28735632,50.81564221,18.47171411
754,75.65264344,76.66974503,1.017101591
755,79.31351215,84.95519175,5.641679599
756,14.91203416,0,14.91203416
757,72.35495892,72.58916567,0.234206755
758,77.93291031,85.76568845,7.832778141
759,84.45977011,77.67551492,6.784255199
760,76.46704534,74.77106591,1.695979431
761,70.29885057,83.52182176,13.22297119
762,27.90294325,13.61650862,14.28643463
763,78.95242094,85.35397842,6.401557476
764,10.69767442,0.133865696,10.56380872
765,69.28735632,64.63341343,4.653942895
766,37.8181343,28.22856217,9.589572132
767,57.14942529,86.6587873,29.50936201
768,78.40638639,85.18242346,6.77603707
769,0,0,0
770,69.18894031,66.8512969,2.337643411
771,79.68732461,86.5674819,6.880157289
772,67.26436782,37.9195557,29.34481212
773,69.49156606,60.68235475,8.809211302
774,71.45963567,75.74022729,4.280591615
775,75.99605069,85.23340898,9.237358285
776,38.20068691,47.94140501,9.740718104
777,79.5033057,82.49780595,2.994500249
778,80.13272939,85.60683408,5.474104689
779,66.25287356,78.83129959,12.57842602
780,31.69279447,22.82512895,8.867665515
781,73.45713588,64.29941298,9.1577229
782,79.24279546,80.16083932,0.918043864
783,60.68965517,87.64768428,26.95802911
,,,13.55106327
