,Pred,Test,Error
667,45.10197,42.16290212,2.939067878
668,18.12908,10.69767442,7.431405581
669,72.6144,69.60638264,3.008017365
670,57.006546,59.52222693,2.515680932
671,27.172462,20.9,6.272462
672,0.36336538,0.535421687,0.172056307
673,61.267628,60.35598552,0.91164248
674,76.713356,77.39275716,0.67940116
675,67.97634,63.72413793,4.252202069
676,65.488266,68.27586207,2.787596069
677,45.627968,43.59313376,2.034834238
678,51.57962,50.57471264,1.004907356
679,63.07023,65.17213088,2.101900883
680,76.69613,78.14352923,1.447399225
681,72.96361,73.87031758,0.906707584
682,36.038532,56.62429003,20.58575803
683,7.26561,3.380048193,3.885561807
684,63.956924,64.22988506,0.272961057
685,78.02112,77.8002097,0.220910303
686,31.491333,29.39356605,2.097766949
687,79.4091,79.43242608,0.023326083
688,74.88678,72.66369407,2.22308593
689,79.540794,80.69537294,1.154578938
690,79.41882,78.47382399,0.944996006
691,11.275712,6.913827655,4.361884345
692,80.77949,78.33567425,2.443815747
693,32.409748,35.65776865,3.248020652
694,17.826147,9.635719894,8.190427106
695,75.491264,76.77011263,1.278848634
696,18.440956,13.97399042,4.466965582
697,63.3043,60.65034622,2.653953784
698,54.772877,58.66666667,3.893789667
699,64.458176,71.9700654,7.511889399
700,50.813843,47.54022989,3.273613115
701,73.77246,72.98425793,0.788202071
702,64.75246,65.24490956,0.492449563
703,63.326904,33.49184783,29.83505617
704,78.440056,76.46704534,1.973010663
705,37.648983,41.92197125,4.272988253
706,15.5534,6.44626506,9.10713494
707,30.36436,20.96098563,9.403374374
708,54.524517,53.19534922,1.329167776
709,12.368214,14.91203416,2.543820163
710,79.64535,77.73131523,1.914034767
711,69.531784,68.7816092,0.750174805
712,74.14457,75.99605069,1.851480693
713,36.811707,33.48939083,3.322316172
714,79.29159,81.19818598,1.906595985
715,80.74572,79.23646288,1.509257115
716,28.024755,27.1659696,0.858785405
717,78.32404,77.80602017,0.518019827
718,5.4034424,0.330795181,5.072647219
719,67.7272,70.01554398,2.288343976
720,34.122135,27.15862069,6.96351431
721,13.790471,3.763855422,10.02661558
722,69.07025,68.7816092,0.288640805
723,46.33692,47.38850575,1.051585747
724,15.756369,21.51469291,5.758323913
725,15.891701,11.88093618,4.01076482
726,75.35747,75.81433509,0.456865088
727,72.19135,70.03626655,2.15508345
728,17.831135,19.75633128,1.92519628
729,0.363854,0.610698795,0.246844795
730,77.935616,78.24677146,0.311155455
731,69.061134,69.49156606,0.430432057
732,79.97884,78.84570208,1.133137922
733,79.13757,80.82231282,1.68474282
734,78.80628,80.81939924,2.013119235
735,56.537163,52.60093567,3.936227334
736,73.08918,70.91202165,2.177158345
737,65.329384,64.73563218,0.593751816
738,63.77215,65.24137931,1.46922931
739,71.89073,72.35495892,0.464228919
740,84.93762,84.45977011,0.477849885
741,11.889554,9.868099658,2.021454342
742,79.068146,79.5033057,0.435159702
743,4.033878,0,4.033878
744,1.9235541,1.834216867,0.089337233
745,78.92727,78.41594782,0.511322177
746,79.7999,79.5431653,0.256734701
747,32.331387,33.7303217,1.398934697
748,76.34691,72.66840556,3.678504438
749,20.592003,21.68377823,1.091775234
750,22.782722,30.57638926,7.79366726
751,80.21591,81.13155525,0.915645254
752,63.98665,61.22167875,2.764971253
753,79.67551,80.14408227,0.468572266
754,0.36525607,0.48346988,0.11821381
755,64.356544,64.22964934,0.126894656
756,21.631023,22.39228916,0.761266157
757,60.879494,60.68965517,0.189838828
758,76.42362,74.21398588,2.209634118
759,69.867065,68.18724971,1.679815287
760,70.03543,69.56700141,0.468428591
761,74.99111,77.25219129,2.26108129
762,61.838486,63.00177718,1.163291177
763,80.47554,80.46323374,0.012306259
764,77.205734,75.65264344,1.553090561
765,78.891655,79.40602422,0.514369219
766,17.631727,20.3,2.668273
767,4.9755116,4.105253012,0.870258588
768,20.043085,19.68734734,0.355737662
769,73.889404,75.23924491,1.349840915
770,79.04855,78.2733528,0.775197199
771,80.02305,81.98472166,1.961671657
772,3.9741683,2.151665607,1.822502693
773,71.47695,71.46369325,0.01325675
774,73.78231,72.32183908,1.46047092
775,47.46225,50.57471264,3.112462644
776,86.582184,86.98850575,0.406321747
777,52.18577,45.02782647,7.157943529
778,64.30542,62.01191101,2.293508986
779,70.4269,70.63667592,0.209775922
780,43.430122,31.69279447,11.73732753
781,32.398674,34.93497604,2.536302044
782,67.3588,67.69507354,0.336273539
783,74.65381,73.66930359,0.984506408
,,,3.833109816
