,Pred,Test,Error
667,71.67341706,80.32485175,8.651434695
668,62.5181594,65.24137931,2.723219909
669,77.53327167,75.94939095,1.58388072
670,59.62900551,76.31372286,16.68471734
671,60.82695288,72.95239515,12.12544227
672,29.74293414,34.93497604,5.192041905
673,33.4576719,24.82910443,8.628567476
674,50.20891697,73.14241777,22.9335008
675,27.06863445,12.9,14.16863445
676,61.78911389,68.77166093,6.982547042
677,15.22149878,6.950900787,8.270597995
678,71.00762493,68.27586207,2.731762856
679,35.0578569,14.72674699,20.33110992
680,-12.64176508,0,12.64176508
681,57.88838302,77.90964913,20.02126611
682,88.16005734,95.08045977,6.920402434
683,48.7131915,1.238361446,47.47483006
684,58.90073559,77.70373494,18.80299935
685,5.786868454,0.330795181,5.456073273
686,63.39847508,72.67624923,9.277774156
687,63.87912147,50.57471264,13.30440882
688,47.02827155,24.42795181,22.60031974
689,61.85221927,79.07291961,17.22070034
690,27.3364591,40.68181818,13.34535909
691,54.61694856,79.74947207,25.13252352
692,71.76877387,66.12635411,5.642419764
693,10.135359,0,10.135359
694,55.95010227,60.68965517,4.739552905
695,43.26125406,63.37681742,20.11556336
696,67.34918253,79.34152968,11.99234715
697,59.77435304,65.11804224,5.343689199
698,30.18020439,34.21218344,4.031979047
699,62.75143198,62.71264368,0.038788298
700,62.59330816,74.29052565,11.69721749
701,83.59094842,78.76540469,4.825543727
702,61.79023423,65.24137931,3.451145077
703,75.47739336,58.79510332,16.68229005
704,65.62022301,78.22747256,12.60724955
705,56.69416902,78.8977266,22.20355757
706,45.55283766,40.23614458,5.316693084
707,67.87206457,77.58803579,9.715971219
708,63.28609837,60.65034622,2.635752151
709,70.24535755,79.35792672,9.112569167
710,64.29737823,67.42561551,3.128237285
711,61.80055142,63.2183908,1.417839382
712,29.23812915,5.6,23.63812915
713,47.93000911,71.31034483,23.38033572
714,55.91583182,72.32183908,16.40600726
715,-14.16645013,0,14.16645013
716,77.09163366,73.65375238,3.437881282
717,18.05639005,0,18.05639005
718,63.25774763,78.79125413,15.53350651
719,23.49416142,14.50035518,8.993806242
720,2.625057362,22.08661417,19.46155681
721,57.47754447,70.57247374,13.09492927
722,49.89670543,72.82758621,22.93088077
723,27.40977654,25.68181818,1.727958361
724,46.66341955,33.71507199,12.94834756
725,53.35479417,30.11635866,23.23843552
726,26.8042831,34.93497604,8.130692941
727,-11.81268084,6.7,18.51268084
728,67.66294318,80.71843772,13.05549454
729,43.82530539,14.31325301,29.51205238
730,49.28326159,77.73456723,28.45130563
731,51.78141554,61.02607889,9.244663343
732,58.91882777,76.57948125,17.66065348
733,63.11835873,69.49156606,6.373207331
734,29.27608281,56.62429003,27.34820723
735,68.02181532,66.75862069,1.26319463
736,30.05730836,33.7303217,3.673013333
737,74.94662821,73.24022098,1.706407232
738,56.21097399,49.15862069,7.052353299
739,71.6285253,66.56732009,5.061205212
740,29.01049722,21.13636364,7.874133582
741,87.45010985,94.57471264,7.124602796
742,36.38776153,5.894939759,30.49282178
743,67.04008684,66.75862069,0.281466152
744,58.91607619,64.73563218,5.819555993
745,52.42263525,3.380048193,49.04258706
746,28.21006842,11.7873855,16.42268292
747,64.33868792,64.6726506,0.333962675
748,58.52412189,24.84550666,33.67861523
749,61.18031982,68.7816092,7.601289374
750,-6.613032653,0.146555936,6.759588588
751,69.52672132,31.69279447,37.83392685
752,15.40184403,19.68734734,4.285503309
753,46.50417671,30.57638926,15.92778745
754,55.85902831,55.63218391,0.226844401
755,45.0293591,39.03080082,5.998558278
756,81.61193599,82.39646511,0.784529123
757,80.35240883,81.98472166,1.632312826
758,16.66705457,2.837204819,13.82984976
759,25.28760695,21.53332571,3.754281236
760,30.60923174,0.970120482,29.63911125
761,28.86255891,3.142554217,25.72000469
762,82.18303913,78.30909866,3.873940469
763,64.80001604,73.69854365,8.898527606
764,62.2285243,29.24494742,32.98357689
765,28.8018201,36.13963039,7.337810285
766,17.80207933,5.927051672,11.87502766
767,45.3266772,5.301204819,40.02547238
768,69.3041994,74.91364587,5.609446465
769,65.91800743,75.89259661,9.974589184
770,16.55256086,0,16.55256086
771,64.78263511,63.18792489,1.594710219
772,83.97032847,80.18604891,3.78427956
773,89.25303853,80.14408227,9.108956268
774,56.86061481,61.1954023,4.334787492
775,0.176316556,0,0.176316556
776,43.57895444,71.9700654,28.39111096
777,73.74604144,79.84111799,6.095076549
778,60.72065357,71.25465684,10.53400327
779,59.63592063,74.42814602,14.79222539
780,26.22550749,1.217156627,25.00835086
781,79.65877827,84.45977011,4.80099184
782,61.60538889,78.58187066,16.97648176
783,62.83153851,78.84570208,16.01416357
,,,10.17585645
