,Pred,Test,Error
667,80.34591925,80.32485175,0.021067493
668,64.14252391,65.24137931,1.098855399
669,75.6070776,75.94939095,0.342313345
670,74.49884749,76.31372286,1.814875369
671,76.41962445,72.95239515,3.4672293
672,34.81311887,34.93497604,0.121857172
673,30.1603649,24.82910443,5.331260471
674,67.42814508,73.14241777,5.714272689
675,6.696247023,12.9,6.203752977
676,72.08124627,68.77166093,3.309585334
677,10.33052063,6.950900787,3.379619846
678,57.55398959,68.27586207,10.72187248
679,15.9606488,14.72674699,1.233901813
680,0.085346715,0,0.085346715
681,72.68419117,77.90964913,5.225457965
682,79.697316,95.08045977,15.38314377
683,58.43292121,1.238361446,57.19455977
684,76.70148575,77.70373494,1.002249192
685,8.964576294,0.330795181,8.633781114
686,71.646926,72.67624923,1.029323232
687,61.42045917,50.57471264,10.84574653
688,31.23280155,24.42795181,6.804849744
689,77.19001962,79.07291961,1.882899987
690,25.53409513,40.68181818,15.14772305
691,72.31744463,79.74947207,7.432027444
692,73.5905557,66.12635411,7.464201592
693,8.121943727,0,8.121943727
694,63.29938578,60.68965517,2.60973061
695,59.44290593,63.37681742,3.933911492
696,76.93321443,79.34152968,2.408315254
697,62.66979367,65.11804224,2.448248571
698,34.5649954,34.21218344,0.352811967
699,64.72776417,62.71264368,2.015120496
700,74.94253685,74.29052565,0.652011198
701,78.19018523,78.76540469,0.575219466
702,69.42021447,65.24137931,4.178835155
703,74.17724417,58.79510332,15.38214086
704,69.33355751,78.22747256,8.893915056
705,70.13868841,78.8977266,8.759038184
706,33.5222761,40.23614458,6.71386848
707,77.6273043,77.58803579,0.039268511
708,66.78817495,60.65034622,6.137828736
709,79.48349843,79.35792672,0.125571709
710,73.3936688,67.42561551,5.968053286
711,64.42307763,63.2183908,1.204686823
712,6.198065177,5.6,0.598065177
713,58.92264355,71.31034483,12.38770128
714,70.77064389,72.32183908,1.551195187
715,0.052094061,0,0.052094061
716,74.92103088,73.65375238,1.267278503
717,2.375533038,0,2.375533038
718,79.45408234,78.79125413,0.662828204
719,26.15490409,14.50035518,11.65454891
720,19.93234363,22.08661417,2.154270544
721,72.30203209,70.57247374,1.729558353
722,68.56040594,72.82758621,4.267180263
723,22.3133089,25.68181818,3.368509285
724,54.64959862,33.71507199,20.93452663
725,34.95548822,30.11635866,4.839129557
726,34.42872784,34.93497604,0.5062482
727,3.022646127,6.7,3.677353873
728,76.89827018,80.71843772,3.820167544
729,20.03779478,14.31325301,5.72454177
730,68.90941216,77.73456723,8.825155066
731,64.07684682,61.02607889,3.050767938
732,72.01413772,76.57948125,4.565343537
733,74.14257023,69.49156606,4.651004176
734,36.11045074,56.62429003,20.51383929
735,64.74307973,66.75862069,2.015540964
736,33.94258358,33.7303217,0.212261885
737,75.19599555,73.24022098,1.955774564
738,50.44031822,49.15862069,1.281697534
739,67.97486247,66.56732009,1.407542386
740,21.33819658,21.13636364,0.201832941
741,83.88365947,94.57471264,10.69105317
742,19.27562279,5.894939759,13.38068304
743,67.61452483,66.75862069,0.855904144
744,67.73828378,64.73563218,3.002651601
745,51.13967985,3.380048193,47.75963166
746,24.95908959,11.7873855,13.17170409
747,71.15526844,64.6726506,6.482617837
748,34.23603894,24.84550666,9.390532277
749,68.64722799,68.7816092,0.134381207
750,21.9321821,0.146555936,21.78562617
751,60.87675612,31.69279447,29.18396165
752,20.92243802,19.68734734,1.235090682
753,38.56375612,30.57638926,7.987366863
754,55.15090744,55.63218391,0.481276466
755,37.90206974,39.03080082,1.128731085
756,80.07509009,82.39646511,2.321375016
757,78.99158955,81.98472166,2.993132103
758,4.876537831,2.837204819,2.039333012
759,8.462371163,21.53332571,13.07095455
760,22.12988683,0.970120482,21.15976634
761,13.24224971,3.142554217,10.09969549
762,77.32579739,78.30909866,0.983301272
763,74.10361291,73.69854365,0.405069267
764,40.68947397,29.24494742,11.44452655
765,34.69118891,36.13963039,1.448441479
766,9.708934287,5.927051672,3.781882615
767,34.44651802,5.301204819,29.1453132
768,77.81664966,74.91364587,2.903003793
769,75.48814973,75.89259661,0.404446887
770,8.175033418,0,8.175033418
771,69.42569231,63.18792489,6.237767421
772,80.08730894,80.18604891,0.098739964
773,79.5217006,80.14408227,0.62238167
774,61.29718203,61.1954023,0.101779727
775,4.583482902,0,4.583482902
776,60.5092462,71.9700654,11.4608192
777,77.77878302,79.84111799,2.062334971
778,68.71370296,71.25465684,2.540953885
779,71.14128735,74.42814602,3.28685867
780,21.70322025,1.217156627,20.48606363
781,80.65259325,84.45977011,3.807176865
782,75.55460501,78.58187066,3.027265652
783,78.71034393,78.84570208,0.13535815
,,,8.604255787
