,Pred,Test,Error
667,86.17423207,80.1572277,6.017004361
668,38.76874466,38.30800821,0.460736442
669,58.15116799,58.16091954,0.009751552
670,57.50385267,61.1954023,3.691549625
671,52.17312794,1.976289157,50.19683878
672,67.47117333,37.34434564,30.12682769
673,26.77945102,1.403260179,25.37619084
674,20.77987241,24.57494867,3.795076258
675,36.69297903,55.63218391,18.93920488
676,25.24249409,33.7303217,8.487827606
677,69.50840983,78.54334143,9.034931597
678,52.56675207,66.75862069,14.19186862
679,86.57628797,80.37562958,6.200658394
680,60.94178654,78.6075591,17.66577256
681,30.64323506,9.542169216,21.10106584
682,60.60622566,48.60229885,12.00392681
683,65.70789224,77.81185502,12.10396278
684,71.76837487,61.70114943,10.06722544
685,0.640113628,0,0.640113628
686,74.43182995,79.84111799,5.409288039
687,35.850836,43.36755647,7.516720472
688,41.30051185,19.82528736,21.47522449
689,60.69336637,56.13793103,4.555435333
690,60.98827842,38.54893908,22.43933933
691,46.85687626,30.57638926,16.280487
692,69.66291916,41.7348276,27.92809155
693,45.44637128,21.37445783,24.07191345
694,71.56217102,80.41698099,8.854809971
695,28.96039754,5.6,23.36039754
696,52.85489352,78.50227095,25.64737743
697,64.69707875,65.24137931,0.544300565
698,34.02477985,2.701493976,31.32328588
699,51.18025527,51.9730333,0.792778026
700,52.69914986,4.70746988,47.99167998
701,37.69374936,34.15604799,3.537701365
702,59.32668599,41.59696221,17.72972378
703,21.45060336,27.22518823,5.774584869
704,60.82252073,76.77011263,15.94759191
705,56.67362957,60.68965517,4.016025602
706,70.25164193,78.99091948,8.739277557
707,33.47583976,14.45585216,19.0199876
708,68.38377234,80.71843772,12.33466538
709,74.81931956,78.13639492,3.31707536
710,67.34223431,70.8045977,3.462363394
711,81.53054123,78.88338291,2.647158318
712,35.00514524,5.607235142,29.39791009
713,57.0442097,61.1954023,4.151192594
714,87.25457748,79.44754432,7.807033156
715,74.66738595,52.60093567,22.06645028
716,43.48038372,37.10335387,6.377029852
717,65.74478689,78.08571333,12.34092643
718,30.3264338,3.142554217,27.18387958
719,67.36533985,76.4179887,9.052648844
720,86.47196715,93.56321839,7.091251245
721,53.34588205,30.3008596,23.04502245
722,73.30704798,79.89997672,6.592928735
723,73.70032179,69.60638264,4.09393915
724,51.27992773,43.99261671,7.287311021
725,35.19030586,60.9375,25.74719414
726,60.19084476,78.24677146,18.0559267
727,42.58463811,0,42.58463811
728,10.09004048,24.32815276,14.23811228
729,76.30537124,77.8002097,1.494838457
730,65.83719092,79.61335482,13.7761639
731,85.28802077,78.27245078,7.01556999
732,32.52233982,17.0486747,15.47366512
733,36.67534376,14.72674699,21.94859677
734,69.85602595,79.39997142,9.54394547
735,35.7642018,43.36755647,7.603354667
736,57.21768825,69.79310345,12.5754152
737,71.68557277,72.32183908,0.636266307
738,66.53554462,34.41194268,32.12360195
739,81.32921551,78.26531827,3.063897241
740,31.43880208,1.607325301,29.83147678
741,-7.806865284,0,7.806865284
742,37.72312591,2.841445783,34.88168012
743,28.93335167,35.41683778,6.483486115
744,45.95168048,5.301204819,40.65047566
745,84.11146654,80.80661449,3.304852045
746,64.45835312,29.01819318,35.44015994
747,47.50718595,43.59313376,3.914052192
748,29.05967397,25.68181818,3.377855791
749,63.75231058,62.01191101,1.740399566
750,43.73881283,63.37681742,19.63800459
751,76.51405705,70.01554398,6.498513074
752,65.27856115,65.24137931,0.037181841
753,31.90991326,12.9,19.00991326
754,25.66087809,20.9,4.760878092
755,40.71271583,60.68965517,19.97693934
756,73.38944491,45.02782647,28.36161844
757,37.77539461,22.39228916,15.38310545
758,59.22084035,77.50117576,18.28033541
759,71.07480806,71.46369325,0.388885191
760,43.04769198,39.51266256,3.535029417
761,38.35236694,39.12289157,0.770524622
762,70.92605649,77.25219129,6.326134795
763,73.43308324,71.85761814,1.5754651
764,56.3746792,78.95640818,22.58172898
765,79.24730119,75.44395567,3.803345515
766,30.78493044,33.97125257,3.186322124
767,82.93318627,78.30909866,4.624087602
768,-6.02116355,0,6.02116355
769,59.33867082,76.70708439,17.36841357
770,13.38647217,3.971943307,9.414528868
771,71.1843201,78.40666688,7.222346777
772,62.31438594,73.87031758,11.55593165
773,61.1244492,70.8045977,9.6801485
774,19.47612842,3.517342452,15.95878597
775,-16.44162841,0,16.44162841
776,72.49336455,75.40501954,2.911654991
777,60.02434272,71.78617565,11.76183293
778,63.47616252,62.71264368,0.763518842
779,17.14043862,2.837204819,14.3032338
780,53.21935076,54.62068966,1.401338893
781,77.86412948,71.09352522,6.770604264
782,44.72562865,3.638746988,41.08688166
783,-12.22872724,6.7,18.92872724
,,,11.18559225
