,Source,Linear,Ridge,SVR
EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,38.19336376391139,43.19362529074749,46.12779185099957
ProductionOfXyloseFromMerantiWood.xlsx,ProductionOfXyloseFromMerantiWood.xlsx,5.582233830434353,6.083663141484252,6.508523026303379
EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,30.516696287011566,30.182841054179764,30.280061006153947
OptimizationOfHydrothermalCHEMPUP.xlsx,OptimizationOfHydrothermalCHEMPUP.xlsx,20.532518692531404,19.41399086745523,19.959180815447183
Generation of xylose solutions from Eucalyptus globulus wood.xlsx,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,27.306363364802284,30.885584450937948,32.163751748215674
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,12.301231204887713,9.215112010762313,27.29467284873331
MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,24.580361883830356,21.64641025038156,22.462579156436128
KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,8.185804152992162,7.83012198862614,8.234703308113591
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,12.524400460837533,10.953084440867018,11.415374774584173
HotWaterPretreatment.xlsx,HotWaterPretreatment.xlsx,24.372520808845625,5.580520974360358,26.559653999325736
ExtractionOfXylansFromHardwoodChips.xlsx,ExtractionOfXylansFromHardwoodChips.xlsx,18.475913266058985,17.509201656922503,17.88434327452392
OptimizationofHydrothermalACS.xlsx,OptimizationofHydrothermalACS.xlsx,12.366920328551686,12.785508684762874,14.66206333361684
QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,18.99714301553366,16.69390390142522,23.904197744181886
HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,34.41227517478211,42.78493697255113,38.77588917503783
DesignOfProcessParametersForProudctionOfXylose.xlsx,DesignOfProcessParametersForProudctionOfXylose.xlsx,9.341979516296801,8.357472072031165,7.828990676978588
HemicelluloseRemovalFromHardwood.xlsx,HemicelluloseRemovalFromHardwood.xlsx,20.770647062481128,20.609888982043056,33.14314927564072
