,Source,Linear,Ridge,SVR
KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,8.18612010872201,8.10111865772238,8.09431456188402
HemicelluloseRemovalFromHardwood.xlsx,HemicelluloseRemovalFromHardwood.xlsx,24.902163596294816,24.696434053476217,24.027167658384723
OptimizationOfHydrothermalCHEMPUP.xlsx,OptimizationOfHydrothermalCHEMPUP.xlsx,25.14740583440371,25.282051888220714,8.586745351129874
ExtractionOfXylansFromHardwoodChips.xlsx,ExtractionOfXylansFromHardwoodChips.xlsx,18.686234156822483,18.68623415682235,17.334063385336755
ProductionOfXyloseFromMerantiWood.xlsx,ProductionOfXyloseFromMerantiWood.xlsx,5.61086814373564,5.636494155563456,6.281502609360251
DesignOfProcessParametersForProudctionOfXylose.xlsx,DesignOfProcessParametersForProudctionOfXylose.xlsx,10.236975239827814,10.239248319505181,8.399567537708627
Generation of xylose solutions from Eucalyptus globulus wood.xlsx,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,27.697980626912898,27.697980626912404,31.403296484699794
QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,17.6103606327658,17.448099660228458,17.779541282481247
MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,23.272469752053,23.27246975205364,20.350263525003598
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,12.993272077627168,12.993272077627177,11.475826519757694
EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,27.28724716029761,27.26112286346514,33.29837557103785
EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,29.68116097683676,29.681160976836786,27.97502542753407
HotWaterPretreatment.xlsx,HotWaterPretreatment.xlsx,21.815698571898466,21.815698571900423,10.924668978267091
OptimizationofHydrothermalACS.xlsx,OptimizationofHydrothermalACS.xlsx,11.476812274736735,11.235102071427795,14.196075086156158
HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,38.772139598431735,38.72595371135391,36.33464921465199
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,13.163342595376605,13.163342595376802,9.487461839374586
