,Source,Linear,Ridge,SVR
HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,29.83326702455833,38.10725174920422,28.46268197412364
QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,22.257158156102197,19.718123757114256,30.949241767553872
ExtractionOfXylansFromHardwoodChips.xlsx,ExtractionOfXylansFromHardwoodChips.xlsx,18.21256511306329,17.81828797875785,26.767701043634258
DesignOfProcessParametersForProudctionOfXylose.xlsx,DesignOfProcessParametersForProudctionOfXylose.xlsx,10.109717179474565,7.513371576518399,7.047175156972061
HotWaterPretreatment.xlsx,HotWaterPretreatment.xlsx,37.576410442874796,23.684385046951693,6.914938772903407
KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,8.393333516982583,7.136833162818882,8.832958532564751
EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,52.16551241547498,46.70503204129392,13.453993674815818
MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,28.840706269288336,27.12987102458386,25.782965266754143
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,11.182351497685572,9.601075693939796,7.507517746492359
OptimizationofHydrothermalACS.xlsx,OptimizationofHydrothermalACS.xlsx,18.17745246444423,17.041863472142506,22.249228195689387
HemicelluloseRemovalFromHardwood.xlsx,HemicelluloseRemovalFromHardwood.xlsx,12.424349731924432,19.80912125459451,26.007464607546833
Generation of xylose solutions from Eucalyptus globulus wood.xlsx,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,29.0719842462243,34.60616262841687,36.41198586524788
ProductionOfXyloseFromMerantiWood.xlsx,ProductionOfXyloseFromMerantiWood.xlsx,5.547944013484149,5.604175215382447,5.682678676428375
OptimizationOfHydrothermalCHEMPUP.xlsx,OptimizationOfHydrothermalCHEMPUP.xlsx,17.378984090898022,17.37534492838406,11.603876527986886
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,11.91641990372291,12.29691364709413,15.038193346324134
EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,33.84750736105911,35.28654134952823,36.04894034591454
