,Source,Linear,Ridge,SVR
Generation of xylose solutions from Eucalyptus globulus wood.xlsx,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,29.071984246224297,29.071984246224485,36.99827530616069
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,11.916419903722874,11.916419903722947,22.51868640109542
DesignOfProcessParametersForProudctionOfXylose.xlsx,DesignOfProcessParametersForProudctionOfXylose.xlsx,10.109717179474556,9.40051046863546,6.356394124966032
MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,28.8407062692883,28.731105102035265,28.049219646261157
ProductionOfXyloseFromMerantiWood.xlsx,ProductionOfXyloseFromMerantiWood.xlsx,5.547944013484147,5.547944013484144,5.28091325368558
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,11.182351497685561,11.182351497685584,8.543303726948576
HemicelluloseRemovalFromHardwood.xlsx,HemicelluloseRemovalFromHardwood.xlsx,12.424349731924401,12.861147550177577,23.269245853030448
OptimizationofHydrothermalACS.xlsx,OptimizationofHydrothermalACS.xlsx,18.177452464444112,17.98085782017465,7.609713420650515
OptimizationOfHydrothermalCHEMPUP.xlsx,OptimizationOfHydrothermalCHEMPUP.xlsx,17.378984090898058,17.4335213257445,13.043175569650174
KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,8.393333516982564,8.393333516982594,5.3112597530395345
EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,33.84750736105908,33.91903873282005,19.355694040993505
ExtractionOfXylansFromHardwoodChips.xlsx,ExtractionOfXylansFromHardwoodChips.xlsx,18.212565113063288,18.5411749058574,29.196052506512792
HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,29.833267024558353,29.833267024559014,39.61509159950681
HotWaterPretreatment.xlsx,HotWaterPretreatment.xlsx,37.57641044287485,37.57641044287669,6.545153172704278
EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,52.16551241547515,52.083908199187704,15.619774216237941
QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,22.25715815610225,22.397349788982254,29.741384380277704
