,Source,Linear,Ridge,SVR
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,11.916419903722863,12.296913647094131,31.549498550741554
MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,28.840961503843285,28.61922945552006,25.15350772066225
EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,52.16551241547497,56.009868274724596,15.197657362699822
HotWaterPretreatment.xlsx,HotWaterPretreatment.xlsx,37.576410442874746,37.57641044287828,6.51221922110133
OptimizationOfHydrothermalCHEMPUP.xlsx,OptimizationOfHydrothermalCHEMPUP.xlsx,17.378984090897955,10.826858919290618,11.603876527986888
HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,29.83326702455829,43.37892533314716,26.857423736564296
OptimizationofHydrothermalACS.xlsx,OptimizationofHydrothermalACS.xlsx,18.177452464444205,18.177452464444485,19.702840188046892
DesignOfProcessParametersForProudctionOfXylose.xlsx,DesignOfProcessParametersForProudctionOfXylose.xlsx,10.109717179474574,9.932417805902306,9.76406190941359
KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,8.393333516982565,8.459807370140577,5.690239627555787
QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,22.25715815610218,21.49632604463472,30.94879663368433
ProductionOfXyloseFromMerantiWood.xlsx,ProductionOfXyloseFromMerantiWood.xlsx,5.547944013484149,5.988138521521346,6.0689806600418965
EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,33.84750736105907,33.907416991586935,26.952150649497728
ExtractionOfXylansFromHardwoodChips.xlsx,ExtractionOfXylansFromHardwoodChips.xlsx,18.212565113063288,18.212565113063498,28.824639345742415
HemicelluloseRemovalFromHardwood.xlsx,HemicelluloseRemovalFromHardwood.xlsx,12.424349731924329,12.424349731925451,22.60142613478141
Generation of xylose solutions from Eucalyptus globulus wood.xlsx,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,29.071984246224318,34.60616262841687,36.411985865247864
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,11.182351497685561,9.601075693939793,6.870692238894092
