,Source,Linear,Ridge,SVR
HemicelluloseRemovalFromHardwood.xlsx,HemicelluloseRemovalFromHardwood.xlsx,12.424349731924359,11.669118278273114,25.992351277414844
Generation of xylose solutions from Eucalyptus globulus wood.xlsx,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,29.07198424622434,29.071984246224908,29.791745286310586
QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,22.257158156102243,22.366641630032113,27.508659667479538
KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,8.582781236679098,8.39333351698264,8.683412470115027
OptimizationofHydrothermalACS.xlsx,OptimizationofHydrothermalACS.xlsx,18.177452464444173,18.177452464443885,24.426276218493125
MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,28.840706269288297,28.646179873360698,20.419944854253036
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,11.91641990372284,11.916419903722957,29.676687056588737
ProductionOfXyloseFromMerantiWood.xlsx,ProductionOfXyloseFromMerantiWood.xlsx,5.547944013484147,5.5224818132088265,8.579875867122926
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,11.18235149768556,11.182351497685517,7.517944488589039
HotWaterPretreatment.xlsx,HotWaterPretreatment.xlsx,37.57641044287475,37.57641044287377,18.48782004239428
OptimizationOfHydrothermalCHEMPUP.xlsx,OptimizationOfHydrothermalCHEMPUP.xlsx,17.378984090898122,17.05887855586175,25.67539831122407
EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,52.16551241547506,52.47584524387076,48.64129303138241
EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,33.84750736105909,34.16424172668045,37.802305778884765
DesignOfProcessParametersForProudctionOfXylose.xlsx,DesignOfProcessParametersForProudctionOfXylose.xlsx,10.109717179474565,10.052041730559315,6.153099578692812
HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,29.833267024558317,28.985469466435127,30.727733180592754
ExtractionOfXylansFromHardwoodChips.xlsx,ExtractionOfXylansFromHardwoodChips.xlsx,18.21256511306329,18.26519582303671,29.698611353623974
