,Source,Linear,Ridge,SVR
ProductionOfXyloseFromMerantiWood.xlsx,ProductionOfXyloseFromMerantiWood.xlsx,5.54794401348415,5.988138521521349,7.530184493063572
DesignOfProcessParametersForProudctionOfXylose.xlsx,DesignOfProcessParametersForProudctionOfXylose.xlsx,10.109717179474565,7.5133715765184075,7.16794279697339
HotWaterPretreatment.xlsx,HotWaterPretreatment.xlsx,37.57641044287481,36.33930635621373,6.582904585628
OptimizationofHydrothermalACS.xlsx,OptimizationofHydrothermalACS.xlsx,18.17745246444413,17.912239037913697,7.724162662890336
ExtractionOfXylansFromHardwoodChips.xlsx,ExtractionOfXylansFromHardwoodChips.xlsx,18.212565113063285,17.818287978757848,23.69996529103456
EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,33.84750736105907,35.28654134952822,26.088127246065376
HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,29.83326702455835,43.378925333147215,28.46287057970978
QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,22.257158156102225,17.061909452648496,30.948882082951478
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,11.9164199037229,11.35067739513085,31.54953586152039
Generation of xylose solutions from Eucalyptus globulus wood.xlsx,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,29.071984246224343,34.606162628416854,36.411985865247885
KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,8.39333351698257,7.136833162818881,5.839991586519241
HemicelluloseRemovalFromHardwood.xlsx,HemicelluloseRemovalFromHardwood.xlsx,12.424349731924421,19.809121254594483,21.210978677451813
EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,52.16551241547502,56.14642316126137,63.99288423363603
OptimizationOfHydrothermalCHEMPUP.xlsx,OptimizationOfHydrothermalCHEMPUP.xlsx,17.37898409089796,13.700676574915368,10.972412596282645
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,11.182351497685586,9.601075693939798,7.507709834142826
MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,28.840706269288265,29.13229792852915,23.509595057960755
