,Source,Linear,Ridge,SVR
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,11.916419903722892,12.02048376510208,39.714404706580495
Generation of xylose solutions from Eucalyptus globulus wood.xlsx,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,29.071984246224314,29.67304839582558,58.93169654898862
KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,8.393333516982569,8.421735324097133,4.576390968145944
OptimizationofHydrothermalACS.xlsx,OptimizationofHydrothermalACS.xlsx,18.17745246444417,18.177452464444297,20.629453412298123
MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,28.840706269288372,29.101625166640687,14.560932773165582
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,11.18235149768558,11.153510469352105,30.69252261590446
HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,29.83326702455826,29.513817199138472,27.424534249649867
ExtractionOfXylansFromHardwoodChips.xlsx,ExtractionOfXylansFromHardwoodChips.xlsx,18.21256511306328,18.15657167779181,25.876718827532613
EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,52.165512415475064,54.582457693350335,21.8436681568351
HotWaterPretreatment.xlsx,HotWaterPretreatment.xlsx,37.57641044287475,36.33930635620833,15.46749366501853
ProductionOfXyloseFromMerantiWood.xlsx,ProductionOfXyloseFromMerantiWood.xlsx,5.547944013484152,5.553728656643508,5.382526180681558
QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,22.257158156102292,22.25715815610175,28.079575678847878
HemicelluloseRemovalFromHardwood.xlsx,HemicelluloseRemovalFromHardwood.xlsx,12.424349731924334,11.652679437282051,25.39195014721964
OptimizationOfHydrothermalCHEMPUP.xlsx,OptimizationOfHydrothermalCHEMPUP.xlsx,17.378984090898065,15.957148657316214,26.57782004868468
EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,33.84750736105909,33.833117142091744,1.813218803181158
DesignOfProcessParametersForProudctionOfXylose.xlsx,DesignOfProcessParametersForProudctionOfXylose.xlsx,10.109717179474577,10.125777089458197,4.802205485271379
