,Source,Linear,Ridge,SVR
EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,29.681160976836797,29.681160976836757,29.153699516046206
HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,38.772139598431735,38.772139598431515,42.74805158745559
HotWaterPretreatment.xlsx,HotWaterPretreatment.xlsx,21.815698571898434,19.450431930897455,15.737657064049186
MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,23.27246975205303,23.300554328652616,20.350263525003573
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,13.163342595376658,13.163342595376042,30.460918586176202
ProductionOfXyloseFromMerantiWood.xlsx,ProductionOfXyloseFromMerantiWood.xlsx,5.610868143735636,5.610868143735625,6.463821844052917
Generation of xylose solutions from Eucalyptus globulus wood.xlsx,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,27.69798062691295,28.156643937852287,25.84988224777036
PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,12.993272077627163,12.99327207762714,11.890635706197363
QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,QuantitativeAnalysisofSugarsInWoodHydrolyzates.xlsx,17.610360632765797,18.270543023959654,20.92279643963707
OptimizationofHydrothermalACS.xlsx,OptimizationofHydrothermalACS.xlsx,11.476812274736725,10.378102586598645,14.196075086156137
OptimizationOfHydrothermalCHEMPUP.xlsx,OptimizationOfHydrothermalCHEMPUP.xlsx,25.58391143208088,25.14740583440472,10.929970725556547
DesignOfProcessParametersForProudctionOfXylose.xlsx,DesignOfProcessParametersForProudctionOfXylose.xlsx,10.236975239827785,10.2369752398279,8.399567537708634
ExtractionOfXylansFromHardwoodChips.xlsx,ExtractionOfXylansFromHardwoodChips.xlsx,18.6862341568225,18.637927006307947,19.969960501108236
KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,8.186120108722,8.186120108722024,7.955319963413016
EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,27.287247160297643,27.28724716029801,39.34727173502939
HemicelluloseRemovalFromHardwood.xlsx,HemicelluloseRemovalFromHardwood.xlsx,24.90216359629481,24.902163596293043,16.109005140332503
