,Param,MAE,STDAE
0,TotalT,5.218471084338904,6.424907719373056
1,Temp,6.926998431223513,10.134828334852893
2,LSR,5.616301407314915,7.062271242149764
3,CA,6.636841757981649,7.730130198069722
4,Size,5.426607370509411,6.665223171932841
5,Moisture,5.166695215662959,6.386860435502125
6,IsoT,5.209527274488797,6.384537399498427
7,HeatT,5.132055313216905,6.419541249154228
8,Ramp,5.2652655147591005,6.458380072287954
9,F_X,5.226585053828564,6.538376715505079
10,Ro,5.228764642787941,6.602283278905197
11,logRo,6.032305365899642,7.415805969535771
12,P,5.313586822948473,6.659231466963007
13,logP,6.153182038106062,7.222767486356203
